,logl,unrestricted.logl,baseline.logl,nvar,nobs,npar,df,objective,chisq,pvalue,baseline.chisq,baseline.df,baseline.pvalue,nfi,pnfi,tli,nnfi,rfi,ifi,rni,cfi,rmsea,rmsea.ci.lower,rmsea.ci.upper,rmsea.pvalue,aic.ll,aic.ll2,aic.x,aic.x2,bic,bic2,ebic.25,ebic.5,ebic.75,ebic1
df8.pruned configural,-1101658.915,-1093418.882,-1229219.564,66,4554,734,3820,38.03837068,16480.06554,0,271601.3645,4290,0,0.939322597,0.836413128,0.946812147,0.946812147,0.931857052,0.95272238,0.952639254,0.952639254,0.020480722,0.020160071,0.020802452,1,2204785.83,2204857.442,8840.065537,17948.06554,2210414.062,2208081.464,2213489.269,2216564.476,2219024.641,2222714.889
df9.pruned configural,-1072965.037,-1065244.156,-1212911.692,66,4554,728,3826,34.40134388,15441.76215,0,295335.0712,4290,0,0.947714431,0.845211052,0.955249305,0.955249305,0.941373474,0.960152999,0.960089473,0.960089473,0.019602449,0.019280125,0.019925845,1,2147386.075,2147456.493,7789.762146,16897.76215,2152968.3,2150654.769,2156018.368,2159068.437,2161508.492,2165168.574
df10.pruned configural,-1068744.637,-1061062.652,-1206277.862,66,4554,764,3790,33.86241499,15363.96842,0,290430.4199,4290,0,0.947099314,0.836714779,0.954215216,0.954215216,0.940120332,0.959621995,0.959551438,0.959551438,0.019659864,0.019336149,0.019984661,1,2139017.273,2139095.01,7783.968417,16891.96842,2144875.543,2142447.606,2148076.439,2151277.335,2153838.052,2157679.127
df11.pruned configural,-1097398.274,-1089407.161,-1232871.741,66,4554,730,3824,37.52877545,15982.22572,0,286929.1596,4290,0,0.944299054,0.841724844,0.951741116,0.951741116,0.937511229,0.95705403,0.956983223,0.956983223,0.020060194,0.019738819,0.020382644,1,2196256.547,2196327.363,8334.22572,17442.22572,2201854.108,2199534.221,2204912.556,2207971.004,2210417.762,2214087.9
df12.pruned configural,-1093028.87,-1085391.46,-1226237.911,66,4554,764,3790,36.97098777,15274.81825,0,281692.9011,4290,0,0.945774927,0.835544749,0.953136879,0.953136879,0.938621223,0.95867327,0.958598781,0.958598781,0.019584001,0.019260109,0.019908975,1,2187585.739,2187663.475,7694.818246,16802.81825,2193444.009,2191016.072,2196644.905,2199845.801,2202406.518,2206247.593
df13.pruned configural,-1077692.193,-1069838.608,-1212823.733,66,4554,716,3838,35.09047778,15707.17139,0,285970.2506,4290,0,0.945074107,0.845499865,0.952900497,0.952900497,0.938605503,0.957930469,0.957862962,0.957862962,0.019784118,0.019462714,0.020106591,1,2156816.386,2156884.45,8031.171386,17139.17139,2162306.597,2160031.201,2165306.39,2168306.183,2170706.017,2174305.768
df14.pruned configural,-1073432.952,-1065653.738,-1206189.903,66,4554,748,3806,34.54663294,15558.42626,0,281072.3298,4290,0,0.944646183,0.838070716,0.95213945,0.95213945,0.937606969,0.957613222,0.957539102,0.957539102,0.019769166,0.019446382,0.020093028,1,2148361.903,2148436.34,7946.426261,17054.42626,2154097.486,2151720.397,2157231.348,2160365.21,2162872.299,2166632.933
df15.pruned configural,-1101242.361,-1093768.535,-1232783.781,66,4554,764,3790,38.10614263,14947.6512,0,278030.4927,4290,0,0.946237368,0.835953292,0.953862738,0.953862738,0.939144672,0.959314355,0.959240041,0.959240041,0.019303042,0.018978475,0.019628687,1,2204012.721,2204090.458,7367.651203,16475.6512,2209870.991,2207443.054,2213071.887,2216272.783,2218833.5,2222674.576
df16.pruned configural,-1097524.472,-1089751.341,-1226149.952,66,4554,746,3808,37.63081477,15546.26251,0,272797.2231,4290,0,0.943011654,0.837060228,0.950749777,0.950749777,0.935798318,0.956361588,0.956283252,0.956283252,0.019752061,0.019429323,0.020075876,1,2196540.944,2196614.974,7930.262514,17038.26251,2202261.191,2199890.457,2205386.673,2208512.156,2211012.542,2214763.121
df1.stepup configural,-1075347.774,-1067425.309,-1215981.304,66,4554,730,3824,34.58719284,15844.92925,0,297111.99,4290,0,0.946670179,0.843838407,0.953945321,0.953945321,0.940171304,0.959013224,0.958947997,0.958947997,0.019946608,0.019624983,0.020269308,1,2152155.547,2152226.363,8196.929253,17304.92925,2157753.108,2155433.222,2160811.556,2163870.004,2166316.763,2169986.9
